2022-07-08 23:05:27.144359{'Count': 22, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-08 23:26:14.616661{'Count': 23, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-08 23:47:00.512965{'Count': 24, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 00:07:45.857618{'Count': 25, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 00:28:33.843006{'Count': 26, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 00:49:22.796751{'Count': 27, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-09 01:10:10.166973{'Count': 28, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 01:30:56.283354{'Count': 29, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 01:51:43.092214{'Count': 30, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 02:12:31.446745{'Count': 31, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-09 02:33:20.965325{'Count': 32, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 02:54:07.891739{'Count': 33, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-09 03:14:54.297675{'Count': 34, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 03:35:41.309475{'Count': 35, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 03:56:29.811088{'Count': 36, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 04:17:16.648676{'Count': 37, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-09 04:38:02.877975{'Count': 38, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 04:58:49.265459{'Count': 39, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 05:19:37.069243{'Count': 40, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 05:40:25.045568{'Count': 41, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 06:01:12.072431{'Count': 42, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 06:21:57.292490{'Count': 43, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-09 06:42:44.233771{'Count': 44, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 07:03:31.995195{'Count': 45, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 07:24:19.496710{'Count': 46, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 07:45:04.531098{'Count': 47, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 08:05:52.713791{'Count': 48, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 08:26:41.339379{'Count': 49, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 08:47:29.396706{'Count': 50, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 09:08:16.428154{'Count': 51, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 09:29:01.934175{'Count': 52, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 09:49:48.991928{'Count': 53, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 10:10:37.648690{'Count': 54, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 10:31:26.609014{'Count': 55, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-09 10:52:16.585892{'Count': 56, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 11:13:03.105990{'Count': 57, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 11:33:48.894881{'Count': 58, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 11:54:36.664420{'Count': 59, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.03.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.03.00_ENC.BIN', 'Current Version': '1.03.00', 'Result': 'PASS'}
2022-07-09 12:15:25.554996{'Count': 60, 'Operate': 'upgrade', 'Pre Version': '1.03.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
2022-07-09 12:36:12.124669{'Count': 61, 'Operate': 'download', 'Pre Version': '1.06.00', 'Upgrade Version': '1.05.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.05.00_ENC.BIN', 'Current Version': '1.05.00', 'Result': 'PASS'}
2022-07-09 12:56:57.751534{'Count': 62, 'Operate': 'upgrade', 'Pre Version': '1.05.00', 'Upgrade Version': '1.06.00', 'Upgrade Image': '/root/PycharmProjects/CycleFirmware-tv0.1/images/1.06.00_ENC.BIN', 'Current Version': '1.06.00', 'Result': 'PASS'}
